Hello ^rb+dspt+++=Hello
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
off ^rp+pl+++=off-season
- ^zz++++=EXTRAWORD
season ^nn++++=EXTRAWORD
and ^cc++++=and
there ^ex+pex+++=there
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
lot ^nn++++=lot
less ^ql++++=less
travellers ^nns+nom+++=travellers
there ^rn+pl+++=there
during ^in++++=during
that ^dt+dem+++=that
time ^nn++++=time.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
really ^rb+emph+++=really
depends ^vbz++++=depends
on ^in+ppvb+++=on
the ^ati++++=the
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
unpredictable ^jj++++=unpredictable
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
as ^in++++=as
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw
this ^dt+dem+++=this
past ^jjb+atrb+++=past
winter ^nn++++=winter
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
barely ^rb+down+++=barely
had ^vbd+hvd+vrb++=had
any ^dt++++=any
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
we ^pp1a+pp1+++=we
never ^rb++++=never
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
the ^ati++++=the
weather ^nn++++=weather
is ^vbz+bez+aux++=is
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do.
. ^zz++++=EXTRAWORD
The ^ati++++=The
best ^jjt+atrb+++=best
thing ^nn++++=thing
to ^to++++=to
do ^vbi++++=do
is ^vbz+bez+vrb++=is
check ^nn++++=check
with ^in++++=with
the ^ati++++=the
staff ^nn++++=staff
at ^in++++=at
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
visitor ^nn++++=visitor
center ^jjr++++=center,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
give ^vb++++=give
them ^pp3o+pp3+++=them
a ^at++++=a
call ^nn++++=call
in ^in++++=in
the ^ati++++=the
weeks ^nns++++=weeks
leading ^vwbg+++xvbg+=leading
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
trip ^nn++++=trip
to ^to++++=to
see ^vbi+vprv+++=see
what ^wdt+who+whcl++=what
the ^ati++++=the
trail ^nn++++=trail
conditions ^nns+nom+++=conditions
are ^vb+ber+vrb++=are
like ^in+strn+++=like.
. ^zz++++=EXTRAWORD
With ^in++++=With
little ^jj+atrb+++=little
ones ^pn++++=ones,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
concerned ^vpsv++agls+xvbnx+=concerned
about ^rb++++=about
the ^ati++++=the
rim ^nn++++=rim,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
stay ^vb++++=stay
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
main ^jjb+atrb+++=main
village ^nn+nom+++=village
area ^nn++++=area
and ^cc++++=and
Mather ^np++++=Mather
Point ^nn++++=Point,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
both ^abx++++=both
much ^ap++++=much
more ^rbr++++=more
secure ^jj++++=secure.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
cultural ^jj+atrb+++=cultural
events ^nns++++=events,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Museum ^nn++++=Museum
of ^in++++=of
Northern ^np++++=Northern
Arizona ^np++++=Arizona
hosts ^nns++++=hosts
several ^ap++++=several
festivals ^nns+nom+++=festivals
throughout ^in++++=throughout
the ^ati++++=the
year ^nn++++=year.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
go ^vb++++=go
to ^in++++=to
their ^pp$+pp3+++=their
website ^nn++++=website,
, ^zz++++=EXTRAWORD
www.musnaz.org ^nn+++??+=www.musnaz.org,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
click ^nn++++=click
on ^in++++=on
" ^zz++++="Programs
programs ^nns+++??+=EXTRAWORD
& ^zz++++=&
Events ^nns++++=Events,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
see ^vb+vprv+++=see
the ^ati++++=the
full ^jj+atrb+++=full
list ^nn++++=list
of ^in++++=of
festivals ^nns+nom+++=festivals.
. ^zz++++=EXTRAWORD
Beyond ^rb++++=Beyond
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
do ^vb+do+aux++=do
have ^vb+hv+vrb++=have
some ^dti++++=some
national ^jj+atrb+++=national
monuments ^nns+nom+++=monuments
close ^in+cmpx+++=close
to ^in++++=to
Flagstaff ^np+++??+=Flagstaff
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
ruins ^nns++++=ruins
Wupatki ^np+++??+=Wupatki
are ^vb+ber+vrb++=are
pueblo ^nn++++=pueblo
ruins ^nns++++=ruins
45 ^cd++++=45
minutes ^nns++++=minutes
north ^np+pl+++=north
of ^in++++=of
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Walnut ^nn++++=Walnut
Canyon ^np+++??+=Canyon
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
15 ^cd++++=15
minutes ^nns++++=minutes
east ^nr+pl+++=east
on ^in++++=on
40 ^cd++++=40,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+pdem+++=those
are ^vb+ber+vrb++=are
cliff ^nn++++=cliff
ruins ^nns++++=ruins.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay
Perfect ^jj++++=perfect.
 ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
Am ^vb+bem+vrb++=EXTRAWORD
Glad ^jj+pred+++=glad
I ^pp1a+pp1+++=I
Could ^md+pos+++=could
Help ^vb++++=help!
 ^zz++++=EXTRAWORD
