Hello ^rb+dspt+++=Hello
serve ^vb++++=serve
food ^nn++++=food.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
great ^jj+atrb+++=great
Bbq ^np+++??+=BBQ
and ^cc++++=and
southwestern ^vwbn+++xvbn+=southwestern
style ^nn++++=style
restaurants ^nns+nom+++=restaurants
as ^rb++++=as
well ^rb++++=well!
! ^zz++++=EXTRAWORD
Ok ^rb+dspt+++=Ok
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
fine ^jj++++=fine!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
some ^dti++++=some
very ^ql+amp+++=very
good ^jj+atrb+++=good
options ^nns+nom+++=options
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
spicy ^nn+++??+=spicy.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
Mix ^vb++++=Mix
on ^in++++=on
the ^ati++++=the
Square ^nn++++=Square,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
soup ^nn++++=soup
and ^cc++++=and
sandwich ^nn++++=sandwich
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
restaurant ^nn+nom+++=restaurant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Beaver ^np+++??+=Beaver
Street ^nn++++=Street
Brewery ^nn+nom+++=Brewery
is ^vbz+bez+vrb++=is
an ^at++++=an
American ^jj++++=American-Italian
- ^zz++++=EXTRAWORD
italian ^jj+atrb+++=EXTRAWORD
restaurant ^nn+nom+++=restaurant
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
being ^vbg+beg++xvbg+=being
one ^pn++++=one
of ^in++++=of
our ^pp$+pp1+++=our
local ^jj+atrb+++=local
breweries ^nns+nom+++=breweries.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
address ^nns+nom+++=address
is ^vbz+bez+vrb++=is
120 ^cd++++=120
N ^zz++++=N
Leroux ^np+++??+=Leroux,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
right ^nn++++=right
in ^in++++=in
the ^ati++++=the
center ^nn++++=center
of ^in++++=of
downtown ^rn++++=downtown
Flagstaff ^np+++??+=Flagstaff
in ^in++++=in
the ^ati++++=the
Old ^jj+atrb+++=Old
Town ^nn++++=Town
Shops ^nns++++=Shops.
. ^zz++++=EXTRAWORD
For ^cs+sub+++=For
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
definitely ^rb++splt++=definitely
recommend ^vb+vsua+++=recommend
staying ^vbg+++xvbg+=staying
at ^in++++=at
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
hostels ^nns++++=hostels
in ^in++++=in
downtown ^rn++++=downtown
Flagstaff ^np+++??+=Flagstaff.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
always ^rb++++=always
international ^jj+pred+++=international
and ^cc+phrs+++=and
younger ^jjr+atrb+++=younger
travellers ^nns+nom+++=travellers
looking ^vwbg+++xvbg+=looking
for ^in++++=for
groups ^nns++++=groups
to ^to++++=to
go ^vbi++++=go
places ^nns++++=places
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
way ^nn++++=way
to ^to++++=to
connect ^vbi++++=connect
with ^in++++=with
other ^ppls++++=other
people ^nns++++=people.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
that ^dt+pdem+++=that
are ^vb+ber+aux++=are
downtown ^rn++++=downtown
are ^vb+ber+vrb++=are
the ^ati++++=the
Motel ^np+++??+=Motel
du ^&fw++++=du
Beau ^np+++??+=Beau
and ^cc++++=and
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
International ^jj+atrb+++=International
Hostel ^nn++++=Hostel.
. ^zz++++=EXTRAWORD
okay ^rb+dspt+++=Okay
perfect ^jj++++=perfect,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=I'm
am ^vb+bem+vrb++=EXTRAWORD
happy ^jj+pred+++=happy
to ^to+jcmp+++=to
help ^vb++++=help!
! ^zz++++=EXTRAWORD
