hello ^rb+dspt+++=hello
at ^in++++=at
the ^ati++++=the
top ^jjb++++=top,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
would ^md+prd+++=would
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
perspective ^nn++++=perspective
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
refreshing ^jj++++=refreshing
and ^cc+phrs+++=and
different ^jj++++=different
. ^zz++++=.
when ^wrb+who+++=when
i ^pp1a+pp1+++=i
did ^vbd+dod+aux++=did
bear ^vb+vprv+++=bear
jaw ^nn++++=jaw/abineau,
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
me ^pp1o+pp1+++=me
5 ^zz++++=5-6
- ^zz++++=EXTRAWORD
6 ^zz++++=EXTRAWORD
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
guess ^vb++++=guess.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
stopped ^vbd+++xvbn+=stopped
briefly ^rb++++=briefly
at ^in++++=at
the ^ati++++=the
trail ^nn++++=trail
stop ^nn++++=stop
to ^to++++=to
take ^vbi++++=take
a ^at++++=a
break ^nn++++=break
and ^cc++++=and
enjoy ^vb++++=enjoy
the ^ati++++=the
views ^nns++++=views.
. ^zz++++=EXTRAWORD
for ^in++++=for
post ^nn++++=post-hike
- ^zz++++=EXTRAWORD
hike ^nn+++??+=EXTRAWORD
restaurants ^nns+nom+++=restaurants,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
some ^dti++++=some
burger ^jjr+atrb+++=burger
places ^nns++++=places
diablo ^np++++=diablo
burger ^jjr++++=burger
is ^vbz+bez+vrb++=is
in ^in++++=in
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
brewery ^nn+nom+++=brewery
you ^pp2+pp2+++=you
could ^md+pos+++=could
visit ^vb++++=visit
the ^ati++++=the
lumberyard ^nn+++??+=lumberyard
to ^to++++=to
get ^vbi++++=get
a ^at++++=a
beer ^nn++++=beer
and ^cc++++=and
burger ^jjr++++=burger.
. ^zz++++=EXTRAWORD
would ^md+prd+++=would
you ^pp2+pp2+++=you
prefer ^vb+vprv+++=prefer
campsites ^nns++++=campsites
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
hosted ^vpsv++agls+xvbnx+=hosted,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
interested ^jj++++=interested
in ^in++++=in
disbursed ^jj+++xvbn+=disbursed
camping ^jj+++xvbg+=camping
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest?
? ^zz++++=EXTRAWORD
ok ^rb+dspt+++=ok
perfect ^jj++++=perfect.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
get ^vb++++=get
a ^at++++=a
motor ^nn++++=motor
vehicle ^nn++++=vehicle
use ^nn++++=use
map ^vb++++=map
that ^dt+dem+++=that
the ^ati++++=the
usda ^nn+++??+=usda
prints ^nns++++=prints
once ^rb+tm+++=once
a ^at++++=a
year ^nn++++=year
that ^tht+rel+subj++=that
shows ^vbz+vprv+tht0++=shows
you ^pp2+pp2+++=you
where ^wrb+who+++=where
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+vrb++=do
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
quite ^rb++++=quite
a ^ap++++=a
few ^ap"++++=few
areas ^nns++++=areas
on ^in++++=on
the ^ati++++=the
roads ^nns++++=roads
heading ^vwbg+++xvbg+=heading
to ^to++++=to
bear ^vbi+vprv+++=bear
jaw ^nn++++=jaw/abineau
where ^wrb+who+++=where
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
camp ^npl++++=camp.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
get ^vb++++=get
a ^at++++=a
printed ^jj+atrb++xvbn+=printed
copy ^nn++++=copy,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
pick ^vb++++=pick
that ^dt+dem+++=that
up ^rp++++=up
either ^dtx++++=either
at ^in++++=at
our ^pp$+pp1+++=our
visitor ^nn++++=visitor
center ^jjr++++=center
or ^cc++++=or
at ^in++++=at
either ^dtx++++=either
of ^in++++=of
the ^ati++++=the
forest ^nn++++=forest
service ^nn++++=service
offices ^nns++++=offices
in ^in++++=in
flagstaff ^nn+++??+=flagstaff.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
also ^rb++++=also
have ^vb+hv+aux++=have
the ^ati++++=the
map ^vb++++=map
online ^nn+++??+=online,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
on ^rp++++=on
this ^dt+dem+++=this
webpage ^nn+nom+++=webpage:
: ^zz++++=EXTRAWORD
< ^zz++++=<link>
link ^nn++++=EXTRAWORD
> ^zz++++=EXTRAWORD
that ^dt+dem+++=that
version ^nn++++=version
differs ^nns+nom+++=differs
a ^rb++++=a
little ^rb"++++=little
from ^in++++=from
the ^ati++++=the
printed ^jj+atrb++xvbn+=printed
one ^pn++++=one.
. ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
printed ^nn++++=printed
map ^vb++++=map,
, ^zz++++=EXTRAWORD
any ^dti++++=any
roads ^nns++++=roads
in ^in++++=in
grey ^np++++=grey
that ^tht+rel+subj++=that
have ^vb+hv+vrb++=have
dots ^nns++++=dots
on ^in++++=on
the ^ati++++=the
sides ^nns++++=sides
allow ^vb++++=allow
disbursed ^jj+++xvbn+=disbursed
camping ^jj+++xvbg+=camping
up ^rp++++=up
to ^to++++=to
300 ^cd++++=300
feet ^nns++++=feet
off ^in+pl+++=off
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
no ^at++++=no
dots ^nns++++=dots
means ^in++++=means
30 ^cd++++=30
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
use ^vb++++=use
the ^ati++++=the
digital ^jj+atrb+++=digital
map ^nn++++=map
often ^rb+cnj+++=often,
, ^zz++++=EXTRAWORD
so ^ql++++=so
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
check ^vb+vprv+++=check
the ^ati++++=the
key ^jjb++++=key
to ^to++++=to
read ^vbn+vprv++xvbn+=read
that ^cs+sub+++=that
one ^pn++++=one.
. ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
anything ^pn++++=anything
else ^rb+cnj+++=else
i ^pp1a+pp1+++=i
can ^md+pos+++=can
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
hope ^nn++++=hope
you ^pp2+pp2+++=you
enjoy ^vb++++=enjoy
your ^pp$+pp2+++=your
day ^nn++++=day.
. ^zz++++=EXTRAWORD
