hello ^rb+dspt+++=hello
visiting ^vwbg+++xvbg+=visiting
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
really ^rb+emph+++=really
depends ^vbz++++=depends
on ^in+ppvb+++=on
the ^ati++++=the
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
unpredictable ^jj++++=unpredictable
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw
this ^dt+dem+++=this
past ^jjb+atrb+++=past
winter ^nn++++=winter
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
barely ^rb+down+++=barely
had ^vb+hv+vrb++=had
any ^dti++++=any
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
never ^rb++++=never
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
the ^ati++++=the
weather ^nn++++=weather
is ^vbz+bez+aux++=is
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
the ^ati++++=the
best ^jjt+atrb+++=best
thing ^nn++++=thing
to ^to++++=to
do ^vbi++++=do
is ^vbz+bez+aux++=is
ask ^vb++++=ask
their ^pp$+pp3+++=their
visitor ^nn++++=visitor
center ^jjr+atrb+++=center
staff ^nn++++=staff,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
you ^pp2+pp2+++=you
can ^md+pos+++=can
call ^vb++++=call
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
weeks ^nns++++=weeks
leading ^vwbg+++xvbg+=leading
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
trip ^nn++++=trip
to ^to++++=to
verify ^vbi+vpub+++=verify
the ^ati++++=the
trail ^nn++++=trail
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
traveling ^nn+nom+++=traveling
with ^in++++=with
kids ^nns++++=kids,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
rim ^nn++++=rim
concerns ^vbz++++=concerns
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
stay ^vb++++=stay
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
main ^jjb+atrb+++=main
village ^nn+nom+++=village
and ^cc++++=and
mather ^np++++=mather
point ^nn++++=point,
, ^zz++++=EXTRAWORD
both ^abx++++=both
are ^vb+ber+aux++=are
much ^ap++++=much
more ^rbr++++=more
secure ^vb++++=secure.
. ^zz++++=EXTRAWORD
to ^to++++=to
find ^vbi+vprv+++=find
events ^nns++++=events,
, ^zz++++=EXTRAWORD
the ^ati++++=the
museum ^nn++++=museum
of ^in++++=of
northernaz ^nn+++??+=northernaz
hosts ^nns++++=hosts
several ^ap++++=several
festivals ^nns+nom+++=festivals
throughout ^in++++=throughout
the ^ati++++=the
year ^nn++++=year.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
visit ^vb++++=visit
www.musnaz.org ^nn+++??+=www.musnaz.org,
, ^zz++++=EXTRAWORD
select ^vb++++=select
" ^zz++++="programs
programs ^nns+++??+=EXTRAWORD
& ^zz++++=&
events ^nns++++=events,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
the ^ati++++=the
list ^nn++++=list
of ^in++++=of
festivals ^nns+nom+++=festivals.
. ^zz++++=EXTRAWORD
beyond ^in++++=beyond
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
do ^vb+do+aux++=do
have ^vb+hv+vrb++=have
some ^dti++++=some
national ^jj+atrb+++=national
monuments ^nns+nom+++=monuments
close ^in+cmpx+++=close
to ^in++++=to
flagstaff ^nn+++??+=flagstaff
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
ruins ^nns++++=ruins
wupatki ^nn+++??+=wupatki
are ^vb+ber+vrb++=are
pueblo ^nn++++=pueblo
ruins ^nns++++=ruins
45 ^cd++++=45
minutes ^nns++++=minutes
north ^np+pl+++=north
of ^in++++=of
town ^nn++++=town,
, ^zz++++=EXTRAWORD
Walnutc ^np+++??+=WalnutC
are ^vb+ber+vrb++=are
cliff ^np++++=cliff
ruins ^nns++++=ruins
only ^rb+down+++=only
15 ^cd++++=15
minutes ^nns++++=minutes
east ^np+pl+++=east
on ^in++++=on
40 ^cd++++=40.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay
Perfect ^jj++++=perfect.
 ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
Am ^vb+bem+vrb++=EXTRAWORD
Glad ^jj+pred+++=glad
I ^pp1a+pp1+++=I
Could ^md+pos+++=could
Help ^vb++++=help!
 ^zz++++=EXTRAWORD
