hello ^rb+dspt+++=hello
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
take ^vb++++=take
the ^ati++++=the
arizona ^np++++=arizona
shuttle ^nn++++=shuttle
to ^in++++=to
Grandc ^np+++??+=GrandC,
, ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
sedona ^nn+++??+=sedona
and ^cc++++=and
antcanyon ^nn+++??+=antcanyon
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
take ^vb++++=take
a ^at++++=a
tour ^nn++++=tour.
. ^zz++++=EXTRAWORD
Grandc ^np+++??+=GrandC
adventures ^nns++++=adventures
is ^vbz+bez+vrb++=is
a ^at++++=a
tour ^nn++++=tour
company ^nn++++=company
that ^tht+rel+subj++=that
operates ^nns+nom+++=operates
out ^rp+pl+++=out
of ^in++++=of
flagstaff ^nn+++??+=flagstaff
and ^cc++++=and
can ^md+pos+++=can
take ^vb++++=take
you ^pp2+pp2+++=you
most ^ql+emph+++=most
places ^nns++++=places.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
for ^in++++=for
the ^ati++++=the
sedona ^nn+++??+=sedona
trip ^nn++++=trip
you ^pp2+pp2+++=you
need ^vb++++=need
a ^at++++=a
minimum ^nn++++=minimum
of ^in++++=of
4 ^zz++++=4
guests ^nns++++=guests.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=could
also ^rb++splt++=also
choose ^vb++++=choose
a ^at++++=a
private ^jj+atrb+++=private
tour ^nn++++=tour
johnny ^np++++=johnny
anaya ^nn+++??+=anaya
is ^vbz+bez+vrb++=is
a ^at++++=a
historian ^nn++++=historian,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
do ^vb+do+vrb++=do
private ^jj+atrb+++=private
tour ^nn++++=tour
anywhere ^rb++++=anywhere
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go
in ^in++++=in
Northernaz ^np+++??+=NorthernAZ.
. ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
taken ^vpsv++agls+xvbnx+=taken
visitors ^nns++++=visitors
to ^in++++=to
sedona ^nn+++??+=sedona,
, ^zz++++=EXTRAWORD
grandc ^nn+++??+=grandc,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
way ^nn++++=way
up ^rp++++=up
to ^in++++=to
monument ^nn+nom+++=monument
valley ^nn++++=valley.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
see ^vb+vprv+++=see
the ^ati++++=the
highlights ^nns++++=highlights
in ^in++++=in
town ^nn++++=town
in ^in++++=in
three ^cd++++=three
days ^nns++++=days.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
start ^vb++++=start
small ^jj++++=small
and ^cc+phrs+++=and
staying ^jj+++xvbg+=staying
close ^in+cmpx+++=close
to ^in++++=to
town ^nn++++=town
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
attractions ^nns+nom+++=attractions
, ^zz++++=,
then ^rn+tm+++=then
you ^pp2+pp2+++=you
can ^md+pos+++=can
spread ^vb+++xvbn+=spread
out ^rp+pl+++=out
to ^in++++=to
sedona ^nn+++??+=sedona
and ^cc++++=and
the ^ati++++=the
attractions ^nns+nom+++=attractions
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
farther ^rbr++++=farther
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
absolutely ^rb+amp+++=absolutely!
! ^zz++++=EXTRAWORD
what ^wdt+who+++=what
hiking ^nn++++=hiking
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
like ^vb++++=like
to ^to+vcmp+++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
( ^zz++++=(
difficulty ^nn++++=difficulty,
, ^zz++++=EXTRAWORD
length ^rb+cnj+++=length,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc)
) ^zz++++=EXTRAWORD
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
hike ^nn+++??+=hike
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
moderate ^jj+pred+++=moderate
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+++=suggest
either ^dtx++++=either
the ^ati++++=the
oldham ^np++++=oldham
trails ^nns++++=trails
or ^cc++++=or
the ^ati++++=the
Eldenlkt ^np+++??+=EldenLkt
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
both ^abx++++=both
of ^in++++=of
the ^ati++++=the
trails ^nns++++=trails
are ^vb+ber+vrb++=are
out ^rp+pl+++=out-and-back,
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
back ^jjb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
meaning ^vbg+vprv++xvbg+=meaning
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
just ^rb+emph+++=just
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
go ^vb++++=go
back ^jjb++++=back
down ^in++++=down
the ^ati++++=the
trail ^nn++++=trail
when ^wrb+who+++=when
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
head ^vbi++++=head
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
both ^abx++++=both
go ^vb++++=go
along ^rp++++=along
mount ^npl++++=mount
elden ^vbd+++xvbn+=elden.
. ^zz++++=EXTRAWORD
oldham ^np++++=oldham
starts ^vbz++++=starts
at ^in++++=at
Buffalop ^np+++??+=BuffaloP
and ^cc++++=and
i ^pp1a+pp1+++=i
would ^md+prd+++=would
rate ^vb++++=rate
the ^ati++++=the
hike ^nn+++??+=hike
as ^ql++++=as
easy ^jj++++=easy
to ^in+jcmp+++=to
moderate ^jj++++=moderate.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
in ^in++++=in
the ^ati++++=the
forests ^nns++++=forests
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
with ^in++++=with
some ^dti++++=some
viewpoints ^nns++++=viewpoints
at ^rb++++=at
places ^nns++++=places.
. ^zz++++=EXTRAWORD
eldenlkt ^nn+++??+=eldenlkt
is ^vbz+bez+vrb++=is
the ^ati++++=the
one ^pn++++=one
with ^in++++=with
a ^at++++=a
view ^nn++++=view
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
enjoy ^vb++++=enjoy;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
watch ^vb++++=watch
the ^ati++++=the
the ^ati++++=the
volcano ^nn++++=volcano
fields ^nns++++=fields
to ^in++++=to
the ^ati++++=the
east ^np+pl+++=east
of ^in++++=of
town ^nn++++=town
from ^in++++=from
the ^ati++++=the
top ^nn++++=top.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
visit ^vb++++=visit
the ^ati++++=the
usda ^nn+++??+=usda
website ^nn++++=website
to ^to++++=to
find ^vbi+vprv+++=find
more ^ql++++=more
details ^nns++++=details
on ^in++++=on
the ^ati++++=the
hikes ^nns+++??+=hikes
in ^in++++=in
flagstaff ^nn+++??+=flagstaff,
, ^zz++++=EXTRAWORD
the ^ati++++=the
website ^nn++++=website
also ^rb++++=also
has ^vbz+hvz+vrb++=has
trail ^nn++++=trail
maps ^nns++++=maps
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
< ^zz++++=<link>
link ^nn++++=EXTRAWORD
> ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
anything ^pn++++=anything
else ^rb+cnj+++=else
i ^pp1a+pp1+++=i
can ^md+pos+++=can
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=I'm
am ^vb+bem+vrb++=EXTRAWORD
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
help ^vb++++=help!
! ^zz++++=EXTRAWORD
